#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2023-05-15 19:39:15.255,1112,47,200,21,200,31,13.8,0.62,0,true,true,0,26,89,0,0,12,2.61,16,false,false,false,false,801C045866FF4CFF1F8A1F0020010000001A8B59000800480518100000,true,10.2,14.6,240,255,255,1,true,11,1,0,79,0,128,22,7D201011FF924030FFFF01018B6500FF4FFFFF30808001FF16C01C4023C031C016
2023-05-15 19:39:16.151,1106,47,200,21,200,32,13.8,0.62,0,true,true,0,26,89,0,0,11.5,2.58,16,false,false,false,false,801C045266FF4CFF208A1F0020010000001A8B59000C0047050A100000,true,10.2,14.6,165,255,255,1,true,11,2,0,79,0,128,22,7D201011FF924021FFFF01018B6600FF4FFFFF30808009FF16C01C4023C031C016
2023-05-15 19:39:16.949,1115,47,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,12,2.6,16,false,false,false,false,801C045B66FF4CFF1F8B1F0020010000001A8B59000B00480516100000,true,10.2,14.6,765,255,255,1,true,11,0,0,79,0,128,22,7D201011FF924099FFFF01018B6400FF4FFFFF30808008FF16C01C4023C031C016
2023-05-15 19:39:17.763,1111,47,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,11.5,2.6,16,false,false,false,false,801C045766FF4CFF1F8B1F0020010000001A8B59000F00470514100000,true,10.2,14.6,810,255,255,1,true,11,-1,0,79,0,128,22,7D201011FF9240A2FFFF01018B6300FF4FFFFF30807FFBFF16C01C4023C031C016
2023-05-15 19:39:18.530,1104,48,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,12,2.58,16,false,false,false,false,801C045067FF4CFF1F8B1F0020010000001A8B5900040048050C100000,true,10.2,14.6,685,255,255,1,true,11,-2,0,79,0,128,22,7D201011FF924089FFFF01018B6200FF4FFFFF30808015FF16C01C4023C031C016
2023-05-15 19:39:19.266,1126,48,200,21,200,32,13.9,0.62,0,true,true,0,26,89,0,0,11.5,2.58,16,false,false,false,false,801C046667FF4CFF208B1F0020010000001A8B5900130047050C100000,true,10.2,14.6,525,255,255,1,true,11,-3,0,79,0,128,22,7D201011FF924069FFFF01018B6100FF4FFFFF30808000FF16C01C4023C031C016
2023-05-15 19:39:19.985,1097,48,200,21,200,32,13.9,0.62,0,true,true,0,26,89,0,0,12,2.6,16,false,false,false,false,801C044967FF4CFF208B1F0020010000001A8B59000700480515100000,true,10.2,14.6,85,255,255,1,true,11,0,0,79,0,128,22,7D201011FF924011FFFF01018B6400FF4FFFFF3080800FFF16C01C4023C031C016
2023-05-15 19:39:20.672,1100,48,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,12,2.59,16,false,false,false,false,801C044C67FF4CFF1F8B1F0020010000001A8B59000500480510100000,true,10.2,14.6,60,255,255,1,true,11,1,0,79,0,128,22,7D201011FF92400CFFFF01018B6500FF4FFFFF3080800BFF16C01C4023C031C016
2023-05-15 19:39:21.375,1128,48,200,21,200,31,13.9,0.62,0,true,true,0,26,89,0,0,10.5,2.58,16,false,false,false,false,801C046867FF4CFF1F8B1F0020010000001A8B59001D00450508100000,true,10.2,14.6,605,255,255,1,true,11,-1,0,79,0,128,22,7D201011FF924079FFFF01018B6300FF4FFFFF30808005FF16C01C4023C031C016
2023-05-15 19:39:22.063,1095,49,200,21,200,32,13.9,0.62,0,true,true,0,26,88,0,0,12,2.59,16,false,false,false,false,801C044768FF4CFF208B1F0020010000001A8B5800060048050E100000,true,10.2,14.6,170,255,255,1,true,11,1,0,78,0,128,22,7D201011FF924022FFFF01018B6500FF4EFFFF30808009FF16C01C4023C031C016
2023-05-15 19:39:22.765,1126,49,200,21,200,30,13.8,0.62,0,true,true,0,26,88,0,0,11.5,2.6,16,false,false,false,false,801C046668FF4CFF1E8A1F0020010000001A8B58000C00470516100000,true,10.2,14.6,795,255,255,1,true,11,-1,0,78,0,128,22,7D201011FF92409FFFFF01018B6300FF4EFFFF30808006FF16C01C4023C031C016
2023-05-15 19:39:23.565,1099,49,200,21,200,32,13.9,0.62,0,true,true,0,26,88,0,0,12,2.6,16,false,false,false,false,801C044B68FF4CFF208B1F0020010000001A8B58000400480512100000,true,10.2,14.6,240,255,255,1,true,11,0,0,78,0,128,22,7D201011FF924030FFFF01018B6400FF4EFFFF30808003FF16C01C4023C031C016
2023-05-15 19:39:24.444,1097,49,200,21,200,31,13.9,0.62,0,true,true,0,26,88,0,0,11.5,2.59,16,false,false,false,false,801C044968FF4CFF1F8B1F0020010000001A8B58000500470510100000,true,10.2,14.6,90,255,255,1,true,11,1,0,78,0,128,22,7D201011FF924012FFFF01018B6500FF4EFFFF30808005FF16C01C4023C031C016
2023-05-15 19:39:25.404,1107,49,200,21,200,32,13.9,0.62,0,true,true,0,26,88,0,0,12,2.59,16,false,false,false,false,801C045368FF4CFF208B1F0020010000001A8B58000F00480510100000,true,10.2,14.6,675,255,255,1,true,11,-1,0,78,0,128,22,7D201011FF924087FFFF01018B6300FF4EFFFF3080800DFF16C01C4023C031C016
2023-05-15 19:39:26.265,1118,49,200,21,200,31,13.8,0.62,0,true,true,0,26,88,0,0,12,2.6,16,false,false,false,false,801C045E68FF4CFF1F8A1F0020010000001A8B58000B00480512100000,true,10.2,14.6,745,255,255,1,true,11,-2,0,78,0,128,22,7D201011FF924095FFFF01018B6200FF4EFFFF30808008FF16C01C4023C031C016
2023-05-15 19:39:26.969,1109,49,200,21,200,32,13.8,0.62,0,true,true,0,26,88,0,0,12,2.6,16,false,false,false,false,801C045568FF4CFF208A1F0020010000001A8B58000800480514100000,true,10.2,14.6,435,255,255,1,true,11,-3,0,78,0,128,22,7D201011FF924057FFFF01018B6100FF4EFFFF30808005FF16C01C4023C031C016
2023-05-15 19:39:27.784,1111,49,200,21,200,32,13.9,0.62,0,true,true,0,26,88,0,0,11.5,2.6,16,false,false,false,false,801C045768FF4CFF208B1F0020010000001A8B58000D00470512100000,true,10.2,14.6,325,255,255,1,true,11,0,0,78,0,128,22,7D201011FF924041FFFF01018B6400FF4EFFFF30808007FF16C01C4023C031C016
2023-05-15 19:39:28.679,1103,49,200,21,200,32,13.8,0.62,0,true,true,0,26,88,0,0,12,2.58,16,false,false,false,false,801C044F68FF4CFF208A1F0020010000001A8B58000300480508100000,true,10.2,14.6,270,255,255,1,true,11,0,0,78,0,128,22,7D201011FF924036FFFF01018B6400FF4EFFFF30807FFAFF16C01C4023C031C016
